question,document
Can I join the course llm-zoomcamp if I just found out about it?,74eb249bbf
Is it still possible to join the course if I'm late?,74eb249bbf
"I discovered the course late, can I still participate?",74eb249bbf
Can I still join llm-zoomcamp and get a certificate?,74eb249bbf
Is there still time to join the course and submit a project for a certificate?,74eb249bbf
Do I really need to register for the LLM Zoomcamp to get accepted?,977bf7786c
What happens if I don't receive a confirmation email after registering?,977bf7786c
Can I start learning and submitting homework before registering for the course?,977bf7786c
Is the registration for the LLM Zoomcamp actually required to participate?,977bf7786c
How does registration affect my ability to submit homework and participate in the course?,977bf7786c
How do I join the Office Hours or live/workshop sessions?,489dd1c9d9
Can I get the zoom link for the live sessions?,489dd1c9d9
Where can I find the video link for the live sessions?,489dd1c9d9
How do I ask questions during the live sessions?,489dd1c9d9
Can I watch the live sessions on YouTube?,489dd1c9d9
What's the best way to begin the LLM Zoomcamp course?,04919992b3
Do I have to start the course on a specific date or can I begin whenever I want?,04919992b3
What is the typical weekly workflow for the course?,04919992b3
Where can I find the course materials and homework instructions?,04919992b3
How do I submit my homework assignments for the course?,04919992b3
How do I find my position on the leaderboard?,c2903069a0
What is the purpose of the display name on the leaderboard?,c2903069a0
Can I change my display name on the leaderboard?,c2903069a0
What name will appear on my course certificate?,c2903069a0
How do I know if my name on the certificate is correct?,c2903069a0
Can I get a certificate if I do the course on my own?,69d122f12e
Is it possible to get a certificate without being part of a live cohort?,69d122f12e
Do I need to be in a live cohort to get a certificate?,69d122f12e
Can I still get a certificate if I'm doing the course self-paced?,69d122f12e
What are the requirements to get a certificate in this course?,69d122f12e
Can I still get a certificate if I miss some homework?,9f689c185f
Is homework mandatory to get a certificate in this course?,9f689c185f
What are the requirements to get a certificate in this course?,9f689c185f
Will missing homework affect my ability to get a certificate?,9f689c185f
Do I need to complete all homework to get a certificate?,9f689c185f
What does it mean if a homework title has [DRAFT] in it?,96286b4be4
Why does homework content keep changing?,96286b4be4
How do I know if the homework is ready to start working on?,96286b4be4
Can I start working on homework before it's officially ready?,96286b4be4
What are the conditions for homework to be considered ready?,96286b4be4
When is the next offering of this course?,bd31146b0e
Will the course be available again after summer 2027?,bd31146b0e
Can I take the course at a different time?,bd31146b0e
How often is the course offered?,bd31146b0e
What is the schedule for future course offerings?,bd31146b0e
Where can I find the lecture videos for this course?,31456f4b5f
Are there videos for each lesson and how do I access them?,31456f4b5f
What is the best way to find the course materials and videos?,31456f4b5f
Can I find all the lectures in one place and where is it?,31456f4b5f
How do I know where to look for the videos for each lesson?,31456f4b5f
How do I keep track of LLM Zoomcamp deadlines and homework?,20c5a1347e
Where can I find the syllabus for LLM Zoomcamp?,20c5a1347e
What platform does LLM Zoomcamp use for course management?,20c5a1347e
How can I track my progress in LLM Zoomcamp?,20c5a1347e
Is there a central place to view LLM Zoomcamp structure and assignments?,20c5a1347e
Are there live sessions for every module or just some?,d65e05bd7a
"What if I get stuck in a module, how can I get help?",d65e05bd7a
Are there office hours available for this course?,d65e05bd7a
Can I get extra support if I'm having trouble with the course material?,d65e05bd7a
Is there a paid option for more support and structure in this course?,d65e05bd7a
Can I use Bluesky posts to get learning in public credits?,dbf5369006
Is Bluesky accepted for learning in public credits in this course?,dbf5369006
Can I earn learning in public credits through Bluesky?,dbf5369006
Are Bluesky posts eligible for learning in public credits?,dbf5369006
How do I use Bluesky to get learning in public credits?,dbf5369006
How do I join the LLM Zoomcamp Telegram channel?,054f3fd58f
What is the LLM Zoomcamp Telegram channel used for?,054f3fd58f
Is there a technical discussion channel for the course?,054f3fd58f
Where can I ask technical questions about the course?,054f3fd58f
What channel is used for course announcements?,054f3fd58f
Why is the number of records in the FAQ dataset different from what's shown in the videos?,e2d595f23c
Will the FAQ dataset keep changing over time?,e2d595f23c
Are the videos and dataset updated at the same time?,e2d595f23c
Why were the videos recorded in May 2026 and not more recently?,e2d595f23c
Can I use the videos as a reference for the current dataset?,e2d595f23c
What happens if I submit homework after the deadline?,a9353fadfe
Can I still turn in my assignment if the form is open?,a9353fadfe
Is it okay to submit late as long as the form is still open?,a9353fadfe
Will I be able to submit my homework if the deadline has passed?,a9353fadfe
Can I still submit my answers if the homework form is still open?,a9353fadfe
What happens if I miss the homework deadline?,cdc3b285e5
Can I still submit homework after the deadline has passed?,cdc3b285e5
Are deadline extensions given for homework submissions?,cdc3b285e5
Will missing homework affect my course certificate?,cdc3b285e5
What are homework points used for in the course?,cdc3b285e5
Will my certificate name be public?,651ba06b34
Can I keep my real name off the leaderboard?,651ba06b34
How do I set my certificate name and display name?,651ba06b34
Is my display name on the leaderboard my real name?,651ba06b34
Where can I change my public nickname and certificate name?,651ba06b34
"What if I already know how to use Langchain, can I still learn from this course?",b7cdde6b25
Will we be using Langchain in later modules of the course?,b7cdde6b25
How long does it take to build the core pieces ourselves before moving to a framework like Langchain?,b7cdde6b25
Are there any benefits to learning from scratch instead of using a framework from the beginning?,b7cdde6b25
Can I still build LLM-powered apps after completing this course without using Langchain?,b7cdde6b25
What happens if I run out of credits on my OpenAI account while using the responses.create command?,f5df151c59
Why does the OpenAI responses.create command give an insufficient credits error?,f5df151c59
How do I fix the OpenAI API Error: Insufficient credits when running responses.create?,f5df151c59
What error will I get if my OpenAI account doesn't have enough credits for responses.create?,f5df151c59
Can I still use the OpenAI responses.create command if my account has no credits left?,f5df151c59
What does the OpenAI error code 429 mean and how do I fix it?,152af39a53
"I'm getting a RateLimitError when using the OpenAI API, what should I do?",152af39a53
How can I resolve the insufficient quota error when making API calls to OpenAI?,152af39a53
Do I need to pay for OpenAI API usage and how do I add funds to my account?,152af39a53
What are the steps to fix the error code 429 and successfully run my Python command with OpenAI API?,152af39a53
How much does it cost to use the Open AI API for this course?,554d0eb78b
What is the minimum amount I need to recharge for OpenAI API usage?,554d0eb78b
Will I be charged a lot for using OpenAI API in this course?,554d0eb78b
Can I really use OpenAI API for less than a cent?,554d0eb78b
What is the cheapest recharge option for OpenAI API?,554d0eb78b
Do I need to pay for OpenAI API to complete course homework?,85384a18e5
Can I use free alternatives for OpenAI API in this course?,85384a18e5
Are there any low-cost options for OpenAI API for this course?,85384a18e5
Is it mandatory to subscribe to OpenAI API for the course?,85384a18e5
Where can I find alternatives to OpenAI API for the course?,85384a18e5
What makes uv faster than pip and virtualenv for managing Python packages?,f81dea8f7e
Can I still use pip and virtualenv if I don't want to use uv for my project?,f81dea8f7e
How does uv manage different Python versions and virtual environments?,f81dea8f7e
Is uv compatible with all Python packages and libraries out there?,f81dea8f7e
Do I have to use uv for this course or can I stick with pip and virtualenv?,f81dea8f7e
Why isn't my OPENAI_API_KEY showing up in Jupyter notebook?,86d99bbf21
How do I load my OPENAI_API_KEY in a Jupyter notebook?,86d99bbf21
What do I need to install to use my OPENAI_API_KEY in Jupyter?,86d99bbf21
"I'm getting an error that my OPENAI_API_KEY isn't found, what should I check?",86d99bbf21
How do I make sure my OPENAI_API_KEY is recognized in Jupyter?,86d99bbf21
How do I keep my API keys safe while using them in my project?,233dabe430
"What's the best way to store API keys for OpenAI, Groq, and Gemini?",233dabe430
How can I load API keys from a .env file in Python?,233dabe430
What should I add to my .gitignore file to prevent API keys from being committed?,233dabe430
How do I use the python-dotenv library to load environment variables?,233dabe430
What if I want to use a different model than the one recommended for the homework?,ee43413718
Can I use a paid service for this homework or do I need a free one?,ee43413718
Do I have to use OpenAI or are there other options?,ee43413718
How do I know which model providers are compatible with the homework?,ee43413718
Will I need to change the code if I use a different provider?,ee43413718
How do I integrate Google Gemini models into my Module 1 notebook using the OpenAI-compatible endpoint?,0ae5c221b9
What are the prerequisites to use Google Gemini models through the OpenAI-compatible endpoint in Module 1?,0ae5c221b9
"Can I use Google Gemini models with the OpenAI client in my notebook, and if so, how?",0ae5c221b9
What code changes do I need to make to use the Google Gemini model with the OpenAI-compatible endpoint in Module 1?,0ae5c221b9
Do I need to modify the notebook code to handle model responses and tool calls when using Google Gemini models?,0ae5c221b9
How do I use the OpenAI SDK to get structured output from Gemini through the OpenAI-compatible endpoint?,341f71f28c
Can I use Pydantic objects with Gemini's chat-completions endpoint?,341f71f28c
What is the alternative to Responses API for parsing structured output from Gemini?,341f71f28c
How can I define a Pydantic model for the structured output I want Gemini to return?,341f71f28c
What are the requirements for using chat.completions.parse with Gemini and Pydantic?,341f71f28c
What's the best way to install Ollama on my Mac?,1d0b969028
How do I get Ollama running on Windows?,1d0b969028
